match_id,time_ms,ball_sn,x,y,score
26,4776580,0,1110,307,0.10111520439386368
26,4776620,0,1124,317,0.9829550385475159
26,4776620,0,1119,316,0.05814475193619728
26,4776660,0,1132,325,0.9945447444915771
26,4776700,0,1141,315,0.9765543937683105
26,4776700,0,1136,313,0.06850409507751465
26,4776740,0,1148,297,0.9737513661384583
26,4776740,0,1144,294,0.07269441336393356
26,4776780,0,1154,278,0.993698239326477
26,4776780,0,1175,279,0.20276643335819244
26,4776820,0,1159,263,0.9883314967155457
26,4776820,0,1155,262,0.11283951252698898
26,4776820,0,1179,277,0.053209543228149414
26,4776860,0,1166,249,0.9918762445449829
26,4776860,0,1161,250,0.07819168269634247
26,4776900,0,1170,235,0.19588981568813324
26,4776940,0,1177,227,0.1893111765384674
26,4777060,0,1189,224,0.5348498225212097
26,4777060,0,1193,224,0.21200472116470337
26,4777100,0,1193,237,0.9388172626495361
26,4777100,0,1193,231,0.16648350656032562
26,4777100,0,1191,224,0.08619531989097595
26,4777140,0,1197,252,0.8431412577629089
26,4777180,0,1200,268,0.9892104864120483
26,4777180,0,1205,269,0.06688621640205383
26,4777220,0,1206,287,0.9806317090988159
26,4777220,0,1211,289,0.2250935286283493
26,4777220,0,1215,293,0.0561160147190094
26,4777220,0,1218,297,0.05264289304614067
26,4777260,0,1208,307,0.9814048409461975
26,4777260,0,1214,307,0.6577803492546082
26,4777260,0,1218,305,0.09057881683111191
26,4777300,0,1211,332,0.9791969656944275
26,4777300,0,1218,329,0.05832161009311676
26,4777340,0,1215,357,0.9954641461372375
26,4777340,0,1210,355,0.10074754059314728
26,4777380,0,1215,385,0.9917387366294861
26,4777380,0,1221,386,0.05712266266345978
26,4777420,0,1216,417,0.9904922842979431
26,4777420,0,1221,415,0.061719860881567
26,4777460,0,1221,451,0.9848528504371643
26,4777460,0,1226,449,0.06804361939430237
26,4777500,0,1224,487,0.9927477240562439
26,4777500,0,1218,488,0.06431195884943008
